"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"RU68","FP, PA, IM, TM, RB, QA",53,"2013, 2015, 2014, 2016, 2017, 2018",6,NA,NA,"2 : FP | 12 : PA | 1 : RB | 6 : TM","1 : RB","6 : IM","2 : RB","6 : IM | 11 : PA | 1 : QA","4 : IM | 1 : QA","IM: 16 | RB: 2 | PA: 11 | QA: 2 | Total: 31","FP: 2 | PA: 12 | RB: 4 | TM: 6 | IM: 6 | Total: 30","FP: 2 | PA: 23 | RB: 4 | TM: 6 | IM: 16 | QA: 2 | Total: 53","IM: 16 | RB: 2 | PA: 11 | QA: 2 | Total: 31"
"RU69","TR, TM, PA, FP, RB",77,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TM | 6 : TR","2 : RB | 6 : TM | 6 : TR","2 : FP | 12 : PA | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","5 : TR","RB: 2 | TR: 23 | Total: 25","TM: 12 | TR: 36 | RB: 4 | FP: 2 | PA: 12 | Total: 66","FP: 2 | PA: 12 | TR: 35 | RB: 2 | Total: 51","RB: 2 | TR: 23 | Total: 25"
"RU70","AW, RB, QA",49,"2011, 2012, 2015, 2017, 2018",5,"18 : AW","18 : AW",NA,NA,"2 : RB",NA,"6 : AW","4 : AW | 1 : QA","RB: 2 | AW: 10 | QA: 1 | Total: 13","AW: 36 | RB: 2 | Total: 38","RB: 2 | AW: 10 | QA: 1 | Total: 13","RB: 2 | AW: 10 | QA: 1 | Total: 13"
"RU71","TM, PA",22,"2011, 2012, 2018",3,"6 : TM","6 : TM",NA,NA,NA,NA,NA,"10 : PA","PA: 10 | Total: 10","TM: 12 | Total: 12","PA: 10 | Total: 10","PA: 10 | Total: 10"
"RU72","RB, AW, PA",32,"2011, 2014, 2012, 2017",4,"6 : AW | 4 : RB","6 : AW",NA,"4 : RB",NA,NA,"12 : PA",NA,"PA: 12 | Total: 12","AW: 12 | RB: 8 | Total: 20","RB: 4 | PA: 12 | Total: 16","PA: 12 | Total: 12"
"RU73","RB, AW",14,"2012, 2013",2,NA,"2 : RB","12 : AW",NA,NA,NA,NA,NA,NA,"RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12",NA
"RU74","RB, AW",17,"2011, 2012, 2014",3,"1 : RB","2 : RB",NA,"12 : AW | 2 : RB",NA,NA,NA,NA,NA,"RB: 5 | AW: 12 | Total: 17","AW: 12 | RB: 2 | Total: 14",NA
"RU75","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"RU76","RB, AW, QA",15,"2013, 2014, 2016",3,NA,NA,"2 : RB","1 : RB",NA,"11 : AW | 1 : QA",NA,NA,"AW: 11 | QA: 1 | Total: 12","RB: 3 | AW: 11 | QA: 1 | Total: 15","RB: 3 | AW: 11 | QA: 1 | Total: 15","AW: 11 | QA: 1 | Total: 12"
"RU77","AW, RB",16,"2013, 2016",2,NA,NA,"12 : AW | 2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 4 | Total: 16","AW: 12 | RB: 4 | Total: 16","RB: 2 | Total: 2"
"RU78","TR, AW, PA, FP, RB",74,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 6 : TR","6 : AW | 6 : TR","6 : TR","6 : TR","2 : FP | 12 : PA | 6 : TR","6 : TR","6 : TR","1 : RB | 5 : TR","FP: 2 | PA: 12 | TR: 23 | RB: 1 | Total: 38","AW: 12 | TR: 36 | FP: 2 | PA: 12 | Total: 62","TR: 35 | FP: 2 | PA: 12 | RB: 1 | Total: 50","FP: 2 | PA: 12 | TR: 23 | RB: 1 | Total: 38"
"RU79","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU80","AW, RL, TR, TM, FP, RB, PA",128,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 6 : TR","6 : AW | 6 : TR","28 : RL | 6 : TR","1 : FP | 1 : RB | 28 : RL | 6 : TM | 6 : TR","6 : TR","6 : TR","6 : TR","5 : PA | 5 : TR","TR: 23 | PA: 5 | Total: 28","AW: 12 | TR: 36 | RL: 56 | FP: 1 | RB: 1 | TM: 6 | Total: 112","RL: 56 | TR: 35 | FP: 1 | RB: 1 | TM: 6 | PA: 5 | Total: 104","TR: 23 | PA: 5 | Total: 28"
"RU81","RB, RL, QA, FP, AW",79,"2012, 2015, 2016, 2017, 2018",5,NA,"2 : FP | 2 : RB",NA,NA,"2 : RB | 31 : RL","1 : QA | 28 : RL","6 : AW","5 : AW | 2 : RB","RB: 4 | RL: 59 | QA: 1 | AW: 11 | Total: 75","FP: 2 | RB: 4 | RL: 59 | QA: 1 | Total: 66","RB: 4 | RL: 59 | QA: 1 | AW: 11 | Total: 75","RB: 4 | RL: 59 | QA: 1 | AW: 11 | Total: 75"
"RU82","RB, AW, PA",28,"2011, 2013, 2016",3,"4 : RB",NA,"12 : AW",NA,NA,"12 : PA",NA,NA,"PA: 12 | Total: 12","RB: 4 | AW: 12 | PA: 12 | Total: 28","AW: 12 | PA: 12 | Total: 24","PA: 12 | Total: 12"
"RU83","TR, AW",59,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : AW | 6 : TR","6 : AW | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","AW: 12 | TR: 36 | Total: 48","TR: 35 | Total: 35","TR: 23 | Total: 23"
"RU84","AW, QA, RB",20,"2016, 2011",2,"4 : RB",NA,NA,NA,NA,"11 : AW | 1 : QA | 4 : RB",NA,NA,"AW: 11 | QA: 1 | RB: 4 | Total: 16","RB: 8 | AW: 11 | QA: 1 | Total: 20","AW: 11 | QA: 1 | RB: 4 | Total: 16","AW: 11 | QA: 1 | RB: 4 | Total: 16"
"RU85","AW, RB",17,"2014, 2012, 2015, 2018",4,NA,"2 : RB",NA,"12 : AW","2 : RB",NA,NA,"1 : RB","RB: 3 | Total: 3","RB: 4 | AW: 12 | Total: 16","AW: 12 | RB: 3 | Total: 15","RB: 3 | Total: 3"
"RU86","RB, FP, AW, QA",15,"2014, 2011, 2017, 2018",4,"2 : FP",NA,NA,"2 : RB",NA,NA,"6 : AW","4 : AW | 1 : QA","AW: 10 | QA: 1 | Total: 11","FP: 2 | RB: 2 | Total: 4","RB: 2 | AW: 10 | QA: 1 | Total: 13","AW: 10 | QA: 1 | Total: 11"
"RU87","RB, FP, TR",58,"2014, 2015, 2012, 2016, 2011, 2013, 2018, 2017",8,"6 : TR","2 : FP | 6 : TR","6 : TR","2 : FP | 2 : RB | 6 : TR","2 : RB | 6 : TR","2 : FP | 6 : TR","6 : TR","1 : FP | 5 : TR","RB: 2 | TR: 23 | FP: 3 | Total: 28","TR: 36 | FP: 6 | RB: 4 | Total: 46","TR: 35 | FP: 5 | RB: 4 | Total: 44","RB: 2 | TR: 23 | FP: 3 | Total: 28"
"RU88","PA, FP",14,"2014",1,NA,NA,NA,"2 : FP | 12 : PA",NA,NA,NA,NA,NA,"FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14",NA
"RU89","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU90","AW",23,"2011, 2012, 2017, 2018",4,"6 : AW","6 : AW",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RU91","FP, RB, PA",22,"2014, 2012, 2015, 2011",4,"2 : FP","2 : RB",NA,"2 : FP | 12 : PA | 2 : RB","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","FP: 4 | RB: 6 | PA: 12 | Total: 22","FP: 2 | PA: 12 | RB: 4 | Total: 18","RB: 2 | Total: 2"
"RU92","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12"
"RU93","RL, AW, FP",140,"2012, 2014, 2016",3,NA,"2 : FP | 41 : RL",NA,"49 : RL",NA,"1 : AW | 47 : RL",NA,NA,"AW: 1 | RL: 47 | Total: 48","FP: 2 | RL: 137 | AW: 1 | Total: 140","RL: 96 | AW: 1 | Total: 97","AW: 1 | RL: 47 | Total: 48"
"RU94","RL, DR",365,"2012, 2014, 2016, 2015, 2017, 2018",6,NA,"87 : RL",NA,"7 : DR | 105 : RL","7 : DR","7 : DR | 106 : RL","3 : DR","2 : DR | 41 : RL","DR: 19 | RL: 147 | Total: 166","RL: 298 | DR: 21 | Total: 319","DR: 26 | RL: 252 | Total: 278","DR: 19 | RL: 147 | Total: 166"
"YA03","FP",4,"2011",1,"4 : FP",NA,NA,NA,NA,NA,NA,NA,NA,"FP: 4 | Total: 4",NA,NA
"YA04","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
